,Exercise,right_elbow,right_shoulder,right_hip,right_knee,right_ankle
396,2.0,27.58,53.71,172.45,179.67,174.47
230,1.0,72.26,17.7,176.67,171.15,61.12
316,2.0,42.88,26.57,148.89,134.85,126.6
358,2.0,104.02,37.91,169.34,174.93,177.93
349,2.0,35.13,29.94,167.81,176.18,149.33
151,1.0,122.67,37.67,176.36,158.37,64.12
242,1.0,65.49,16.89,173.56,167.88,65.73
182,1.0,110.72,37.44,167.77,152.43,71.82
158,1.0,84.57,19.96,176.81,161.61,74.16
391,2.0,91.42,90.0,177.29,178.78,161.22
243,1.0,67.41,17.72,172.01,166.03,65.73
131,1.0,158.16,63.05,178.19,165.51,86.42
40,0.0,161.01,24.39,179.76,179.34,157.14
281,2.0,74.34,41.57,130.61,131.48,134.32
394,2.0,15.24,45.73,172.06,179.18,175.94
308,2.0,41.3,27.21,154.85,145.95,138.87
320,2.0,46.37,29.58,140.96,125.44,123.34
57,0.0,137.27,160.93,152.15,176.34,171.86
315,2.0,41.65,26.9,148.25,134.61,126.68
339,2.0,36.54,29.3,156.94,155.12,140.59
12,0.0,150.35,135.1,155.56,171.03,140.73
92,1.0,112.5,17.89,144.39,170.79,74.22
299,2.0,46.78,29.93,160.74,162.59,153.81
365,2.0,74.03,25.93,172.16,175.97,165.9
199,1.0,177.98,71.98,167.43,176.5,101.29
187,1.0,149.94,57.19,165.73,152.3,85.14
104,1.0,147.86,53.66,175.3,164.87,81.57
177,1.0,78.47,22.36,178.6,163.68,61.49
179,1.0,87.6,29.63,168.77,155.8,63.28
205,1.0,179.09,72.3,167.17,177.03,98.13
275,2.0,66.58,39.12,128.54,135.72,138.46
67,0.0,161.55,28.32,177.38,177.79,152.87
271,2.0,48.45,29.28,119.51,146.55,139.4
0,0.0,151.28,19.62,162.26,173.38,175.12
261,1.0,167.93,61.67,165.55,157.61,85.18
167,1.0,68.0,12.59,178.65,166.41,64.75
170,1.0,68.0,12.49,177.9,166.57,65.99
45,0.0,162.0,22.05,176.95,176.59,157.09
23,0.0,166.34,20.33,177.12,170.65,156.89
314,2.0,41.49,27.38,149.05,134.92,128.57
208,1.0,158.68,58.69,164.97,162.85,84.11
227,1.0,77.24,20.22,175.27,170.62,62.78
142,1.0,171.06,66.27,171.12,162.24,80.78
297,2.0,45.98,30.51,162.88,167.13,154.53
190,1.0,173.83,69.87,171.12,161.0,84.89
344,2.0,35.41,29.28,162.95,166.77,147.61
415,2.0,84.52,40.22,172.32,163.77,153.06
157,1.0,86.86,20.52,174.85,162.83,62.43
398,2.0,18.26,37.36,171.56,176.69,174.81
173,1.0,66.92,12.37,177.1,166.08,62.04
362,2.0,66.72,18.57,169.06,173.37,175.78
404,2.0,44.89,39.46,173.86,177.0,172.35
277,2.0,68.28,40.17,127.52,124.28,131.39
181,1.0,102.45,35.21,164.74,150.81,68.11
3,0.0,148.0,27.99,175.99,170.94,167.53
63,0.0,166.48,21.9,176.26,176.51,155.41
361,2.0,62.02,20.75,169.94,174.86,177.94
334,2.0,39.3,32.58,152.49,150.37,137.11
259,1.0,145.72,49.14,167.65,156.44,81.12
101,1.0,102.61,25.19,176.46,167.2,77.14
359,2.0,54.88,24.8,167.76,173.33,177.96
150,1.0,123.36,38.84,177.57,157.95,64.95
218,1.0,101.2,24.89,177.8,163.58,64.17
165,1.0,68.6,12.88,177.38,169.06,66.36
413,2.0,84.28,35.91,169.18,159.54,153.2
164,1.0,68.88,13.5,178.56,168.37,66.71
69,0.0,177.52,75.31,173.39,174.83,165.03
318,2.0,45.1,29.11,145.46,129.69,124.54
232,1.0,70.14,17.95,174.06,169.08,60.22
352,2.0,34.62,32.03,168.48,178.73,151.37
389,2.0,38.21,38.69,178.85,178.79,163.19
93,1.0,104.97,19.42,153.27,173.76,75.0
52,0.0,176.43,69.76,172.72,175.24,175.24
132,1.0,163.14,66.45,177.88,166.57,84.03
13,0.0,123.08,148.19,157.9,160.92,127.94
113,1.0,140.31,50.4,173.81,171.89,105.25
288,2.0,67.2,15.28,173.1,179.42,150.61
363,2.0,66.05,21.11,170.87,174.32,172.96
137,1.0,177.82,61.63,90.78,15.71,60.59
172,1.0,68.05,12.78,178.46,164.82,63.41
66,0.0,157.21,25.66,176.31,175.04,150.08
417,2.0,67.64,50.28,173.56,169.14,155.38
379,2.0,60.46,30.4,178.9,179.36,160.64
195,1.0,178.95,72.08,165.12,174.1,96.43
117,1.0,106.33,28.48,173.8,177.91,71.99
17,0.0,153.62,149.85,156.27,169.48,138.46
241,1.0,64.69,16.32,174.21,167.16,66.21
6,0.0,149.17,29.13,178.53,172.47,162.93
9,0.0,156.9,51.07,175.84,176.11,173.04
274,2.0,58.23,32.92,126.77,138.11,138.08
39,0.0,165.24,21.55,179.28,178.1,158.87
55,0.0,140.94,139.16,151.58,175.68,176.42
253,1.0,105.73,36.08,164.32,160.37,71.63
263,1.0,175.36,70.11,162.41,168.22,96.52
246,1.0,71.85,19.78,174.27,169.21,60.74
304,2.0,42.33,27.5,156.85,151.29,143.57
11,0.0,167.12,114.2,157.66,176.16,140.52
234,1.0,66.34,17.39,172.36,167.21,60.55
397,2.0,25.79,49.93,170.12,177.42,176.11
323,2.0,46.09,31.06,131.77,114.21,119.07
135,1.0,168.32,72.42,174.22,167.34,88.0
120,1.0,95.96,17.64,173.02,177.94,73.56
333,2.0,40.73,32.68,149.3,144.01,133.29
330,2.0,46.96,29.75,133.1,112.29,117.03
155,1.0,97.61,24.85,172.62,161.84,65.6
252,1.0,100.12,31.94,168.11,161.04,68.84
367,2.0,92.37,18.75,170.58,174.91,164.35
235,1.0,65.78,16.01,174.36,169.87,63.2
95,1.0,93.03,13.61,168.55,174.68,83.34
418,2.0,53.01,59.37,174.24,171.54,157.33
60,0.0,172.27,73.47,166.4,173.21,171.78
395,2.0,16.37,39.18,172.07,179.17,177.04
108,1.0,167.58,64.48,173.64,166.22,78.83
180,1.0,94.33,32.04,168.34,153.1,64.51
409,2.0,99.02,21.6,173.56,174.0,163.2
237,1.0,65.53,14.2,176.47,166.24,65.12
305,2.0,41.07,27.07,156.39,149.66,142.28
185,1.0,132.61,47.86,166.44,153.18,82.94
347,2.0,32.73,29.96,168.13,176.28,149.73
100,1.0,95.41,18.79,177.34,165.48,77.45
102,1.0,116.08,32.04,178.92,168.98,74.66
87,1.0,170.14,63.71,175.61,165.51,120.79
337,2.0,37.02,30.69,155.85,154.07,139.19
74,0.0,142.07,160.16,153.48,174.18,154.67
414,2.0,80.46,39.05,169.97,160.62,153.48
343,2.0,34.93,29.05,160.69,161.29,143.18
203,1.0,177.27,72.9,166.6,174.47,103.74
327,2.0,47.21,31.89,125.23,101.45,111.14
346,2.0,31.93,31.0,167.69,175.04,149.9
107,1.0,166.95,63.59,173.84,164.06,79.95
351,2.0,34.35,30.2,168.56,178.72,151.32
424,2.0,66.38,78.59,176.48,175.2,160.35
223,1.0,86.56,20.43,178.6,169.66,60.68
355,2.0,61.86,14.02,171.88,177.57,177.83
163,1.0,68.53,13.6,179.79,166.79,66.24
226,1.0,75.11,19.62,173.68,171.06,63.08
70,0.0,160.06,102.81,165.07,179.67,173.98
183,1.0,118.17,41.62,165.21,152.71,75.96
178,1.0,83.06,26.25,172.66,158.79,64.19
171,1.0,68.61,13.21,178.79,165.31,63.79
236,1.0,65.24,15.2,175.31,168.82,66.67
416,2.0,82.12,34.73,173.13,165.88,153.78
317,2.0,43.56,27.53,147.58,132.68,125.71
49,0.0,172.02,26.97,176.83,177.04,153.86
298,2.0,46.6,31.56,161.3,164.85,154.58
401,2.0,12.04,27.68,174.08,177.87,173.86
109,1.0,176.16,72.15,179.6,177.24,94.76
244,1.0,70.12,18.18,173.82,166.03,65.73
338,2.0,36.25,29.63,156.33,154.61,139.37
382,2.0,59.99,30.92,178.0,174.83,164.32
216,1.0,111.55,28.63,177.28,164.27,69.68
306,2.0,40.96,26.41,156.77,149.74,140.73
399,2.0,18.04,43.98,173.71,178.57,173.87
18,0.0,159.9,129.77,156.57,176.78,136.06
423,2.0,90.97,107.75,176.5,174.02,159.39
429,2.0,139.72,149.02,172.57,176.65,164.37
200,1.0,177.35,72.51,167.5,176.5,101.29
229,1.0,74.75,17.68,178.36,171.63,61.46
156,1.0,91.43,21.52,172.24,162.96,62.75
27,0.0,164.02,22.46,179.44,176.65,167.72
231,1.0,70.92,18.12,174.12,169.16,60.5
366,2.0,84.77,18.68,170.85,175.17,164.41
196,1.0,178.38,71.98,167.17,176.66,97.71
61,0.0,174.69,41.58,168.91,171.59,168.7
207,1.0,166.79,63.87,166.94,170.5,90.0
21,0.0,179.21,51.36,172.12,163.51,163.08
322,2.0,46.05,30.41,134.04,116.94,119.96
219,1.0,97.88,24.0,176.96,166.04,58.86
89,1.0,149.23,28.85,139.93,173.77,112.39
96,1.0,90.66,12.75,174.85,169.85,85.4
350,2.0,34.26,30.54,168.79,178.13,150.06
